Amanah Nusantara Mutiara Toko Pharma Pharm,Jl. Tembok Pendek Komplek 66 Kota/Kabupaten ACEH JAYA Provinsi ACEH,POINT(95.9554024812252 4.65913893450333),David Brown Thomas,6101066/3295101/200483,664100762782,amanah-nusantara-mutiara-toko-pharma-pharm,363
Sejahtera Bahagia Prima Medical Farma Sehat,Jl. Balai Tinggi Daerah 6 Kota/Kabupaten TOBA SAMOSIR Provinsi SUMATERA UTARA,POINT(99.44811166623086 2.2356565538650948),Chris Jackson Wilson,934415/692415/839294,48131003104961,sejahtera-bahagia-prima-medical-farma-sehat,994
Lestari Apotik Berkah Prima Bersama Medika,Jl. Apel Cerdas Blok 3 Kota/Kabupaten PESISIR SELATAN Provinsi SUMATERA BARAT,POINT(100.96735160053242 -2.274089659241719),Jessica Smith White,1988910/697642/331204,781004304823,lestari-apotik-berkah-prima-bersama-medika,436
Farmasi Medic Terang Badan Medik Apotik,Jl. Apel Pintar Komplek 18 Kota/Kabupaten MANGGARAI BARAT Provinsi NUSA TENGGARA TIMUR,POINT(120.24549143405385 -8.492296179093625),Ashley Johnson Garcia,615033/1041280/5594103,9810850934151,farmasi-medic-terang-badan-medik-apotik,117
Jaya Surya Nusantara Badan Sejahtera Medik,Jl. Gunung Kecil Wilayah 3 Kota/Kabupaten MAMBERAMO RAYA Provinsi PAPUA,POINT(138.5697510378852 -2.3849392863002965),Alex Jones Robinson,1081003/226030/1078963,818201702763,jaya-surya-nusantara-badan-sejahtera-medik,982
Makmur Jaya Surya Mutiara Apotek Sejahtera,Jl. Kota Indah Cluster 45 Kota/Kabupaten KAPUAS Provinsi KALIMANTAN TENGAH,POINT(114.5435015321667 -1.991839675101609),Alex Hill Johnson,530771/258994/1061030,460004881567,makmur-jaya-surya-mutiara-apotek-sejahtera,98
Medic Lestari Bintang Badan Farma Medik,Jl. Durian Cermat Blok 36 Kota/Kabupaten BERAU Provinsi KALIMANTAN TIMUR,POINT(117.7946734369732 1.76060784897866),Sarah Roberts Jones,3112103/25102108/956231,157556096680,medic-lestari-bintang-badan-farma-medik,92
Nusantara Sehat Toko Bumi Jaya Medik,Jl. Apel Cermat Komplek 25 Kota/Kabupaten MIMIKA Provinsi PAPUA,POINT(137.319555784299 -4.623100423984722),Tom Thomas Harris,625610/225178/3238104,8301778237110,nusantara-sehat-toko-bumi-jaya-medik,583
Sentorsa Mutiara Bintang Sejahtera Farma Sejahtera,Jl. Gedung Cermat Wilayah 36 Kota/Kabupaten MIMIKA Provinsi PAPUA,POINT(137.96385056059012 -4.221176398537349),Matt Taylor Robinson,2101709/261213/374753,945301803928,sentorsa-mutiara-bintang-sejahtera-farma-sejahtera,132
Bintang Medical Bumi Sentorsa Jaya Apotik,Jl. Kebun Tinggi Wilayah 8 Kota/Kabupaten KUTAI KARTANEGARA Provinsi KALIMANTAN TIMUR,POINT(117.48240809642 -0.4945936881779573),Brittany Brown Robinson,3931610/5985102/419347,178662571027,bintang-medical-bumi-sentorsa-jaya-apotik,543
